Edge_ID,Source_Node,Target_Node,Source_Degree,Target_Degree,Clustering_Coeff,Source_Label,Connection_Type,Search_Priority,Is_Pattern_Match
E-100-268,100,268,37,30,0.09,A,Strong,High,1
E-109-173,109,173,29,18,0.1,A,Strong,High,1
E-82-157,82,157,35,35,0.09,A,Weak,High,0
E-5-77,5,77,23,26,0.11,C,Strong,High,0
E-225-245,225,245,29,33,0.09,D,Weak,High,0
E-25-219,25,219,36,32,0.11,D,Strong,High,0
E-61-256,61,256,30,29,0.13,D,Weak,High,0
E-180-236,180,236,34,29,0.1,D,Strong,High,0
E-82-255,82,255,35,29,0.09,C,Strong,High,0
E-28-95,28,95,26,30,0.09,A,Weak,High,0
E-45-296,45,296,31,31,0.09,C,Strong,High,0
E-29-99,29,99,25,30,0.08,A,Weak,High,0
E-76-208,76,208,31,30,0.1,A,Weak,High,0
E-10-33,10,33,27,28,0.08,C,Strong,High,0
E-41-172,41,172,19,23,0.1,C,Strong,High,0
E-25-120,25,120,36,32,0.11,C,Weak,High,0
E-112-145,112,145,39,38,0.1,A,Weak,High,0
E-213-253,213,253,29,22,0.08,A,Weak,High,0
E-66-187,66,187,35,42,0.08,C,Weak,High,0
E-72-198,72,198,27,28,0.11,A,Weak,High,0
E-73-222,73,222,38,26,0.1,C,Weak,High,0
E-15-278,15,278,32,29,0.11,C,Weak,High,0
E-59-187,59,187,36,42,0.11,B,Weak,High,0
E-84-251,84,251,33,37,0.1,B,Strong,High,0
E-232-248,232,248,37,37,0.1,A,Strong,High,1
E-87-101,87,101,38,33,0.11,B,Weak,High,0
E-134-199,134,199,32,30,0.09,D,Strong,High,0
E-244-298,244,298,45,36,0.1,B,Strong,High,0
E-175-218,175,218,33,31,0.12,C,Strong,High,0
E-224-296,224,296,33,31,0.08,A,Strong,High,1
E-136-138,136,138,29,41,0.12,A,Weak,High,0
E-7-62,7,62,31,33,0.12,C,Weak,High,0
E-69-70,69,70,28,26,0.09,A,Strong,High,1
E-28-254,28,254,26,28,0.09,C,Strong,High,0
E-150-275,150,275,42,37,0.09,C,Weak,High,0
E-24-273,24,273,29,30,0.12,C,Strong,High,0
E-109-225,109,225,29,29,0.1,A,Strong,High,1
E-95-241,95,241,30,23,0.08,D,Strong,High,0
E-73-77,73,77,38,26,0.1,C,Weak,High,0
E-60-231,60,231,32,31,0.1,C,Strong,High,0
E-167-177,167,177,22,38,0.07,A,Weak,High,0
E-79-173,79,173,34,18,0.09,A,Weak,High,0
E-45-186,45,186,31,27,0.09,B,Strong,High,0
E-37-157,37,157,25,35,0.12,C,Weak,High,0
E-97-120,97,120,31,32,0.11,A,Strong,High,1
E-20-35,20,35,32,36,0.1,B,Strong,High,0
E-60-132,60,132,32,24,0.1,D,Strong,High,0
E-99-179,99,179,30,37,0.13,A,Strong,High,1
E-0-198,0,198,34,28,0.09,C,Weak,High,0
E-101-163,101,163,33,30,0.1,D,Weak,High,0
E-59-82,59,82,36,35,0.11,D,Strong,High,0
E-60-117,60,117,32,29,0.1,A,Weak,High,0
E-97-239,97,239,31,30,0.11,C,Strong,High,0
E-90-268,90,268,36,30,0.11,C,Weak,High,0
E-67-259,67,259,17,36,0.09,B,Weak,High,0
E-155-279,155,279,30,39,0.11,C,Weak,High,0
E-116-117,116,117,35,29,0.11,D,Strong,High,0
E-238-279,238,279,32,39,0.12,D,Weak,High,0
E-35-187,35,187,36,42,0.1,D,Weak,High,0
E-233-283,233,283,23,29,0.12,D,Strong,High,0
E-141-242,141,242,31,33,0.12,D,Strong,High,0
E-124-298,124,298,23,36,0.11,B,Weak,High,0
E-60-153,60,153,32,40,0.1,D,Weak,High,0
E-30-158,30,158,36,31,0.11,D,Strong,High,0
E-76-262,76,262,31,32,0.1,D,Strong,High,0
E-43-195,43,195,21,30,0.08,B,Strong,High,0
E-127-260,127,260,29,24,0.1,A,Weak,High,0
E-166-195,166,195,30,30,0.11,D,Weak,High,0
E-220-236,220,236,36,29,0.11,B,Weak,High,0
E-16-76,16,76,27,31,0.12,B,Strong,High,0
E-37-72,37,72,25,27,0.12,D,Strong,High,0
E-70-247,70,247,26,34,0.12,B,Weak,High,0
E-60-65,60,65,32,24,0.1,B,Strong,High,0
E-162-274,162,274,35,36,0.11,A,Weak,High,0
E-58-257,58,257,31,27,0.11,C,Weak,High,0
E-135-198,135,198,41,28,0.09,B,Strong,High,0
E-85-144,85,144,23,34,0.09,D,Weak,High,0
E-166-244,166,244,30,45,0.11,B,Weak,High,0
E-56-275,56,275,25,37,0.08,C,Weak,High,0
E-23-44,23,44,30,25,0.11,C,Weak,High,0
E-11-143,11,143,30,31,0.09,D,Strong,High,0
E-185-220,185,220,28,36,0.09,D,Weak,High,0
E-199-257,199,257,30,27,0.11,A,Strong,High,1
E-17-299,17,299,25,24,0.12,B,Weak,High,0
E-88-252,88,252,37,30,0.09,A,Strong,High,1
E-91-296,91,296,31,31,0.08,B,Weak,High,0
E-84-120,84,120,33,32,0.1,A,Weak,High,0
E-85-274,85,274,23,36,0.09,A,Strong,High,1
E-142-149,142,149,26,26,0.11,A,Strong,High,1
E-141-275,141,275,31,37,0.12,A,Weak,High,0
E-154-226,154,226,33,22,0.12,B,Strong,High,0
E-17-46,17,46,25,33,0.12,A,Weak,High,0
E-182-220,182,220,26,36,0.09,A,Weak,High,0
E-194-199,194,199,35,30,0.1,B,Strong,High,0
E-47-146,47,146,32,29,0.11,D,Strong,High,0
E-85-282,85,282,23,26,0.09,A,Strong,High,1
E-293-295,293,295,27,26,0.09,C,Weak,High,0
E-164-264,164,264,25,30,0.11,C,Strong,High,0
E-79-107,79,107,34,28,0.09,B,Strong,High,0
E-57-66,57,66,26,35,0.08,D,Strong,High,0
E-129-293,129,293,34,27,0.12,C,Strong,High,0
E-36-242,36,242,28,33,0.11,C,Weak,High,0
E-124-240,124,240,23,26,0.11,D,Weak,High,0
E-40-231,40,231,23,31,0.12,C,Weak,High,0
E-14-279,14,279,29,39,0.11,B,Strong,High,0
E-89-142,89,142,35,26,0.08,D,Weak,High,0
E-105-207,105,207,40,34,0.1,D,Weak,High,0
E-15-237,15,237,32,25,0.11,C,Weak,High,0
E-118-183,118,183,28,27,0.09,C,Weak,High,0
E-82-242,82,242,35,33,0.09,C,Weak,High,0
E-24-91,24,91,29,31,0.12,C,Strong,High,0
E-206-285,206,285,40,33,0.08,C,Weak,High,0
E-144-177,144,177,34,38,0.11,C,Strong,High,0
E-105-117,105,117,40,29,0.1,C,Strong,High,0
E-125-180,125,180,35,34,0.1,B,Strong,High,0
E-1-220,1,220,24,36,0.07,A,Weak,High,0
E-10-118,10,118,27,28,0.08,C,Weak,High,0
E-181-205,181,205,26,35,0.1,D,Strong,High,0
E-23-296,23,296,30,31,0.11,B,Weak,High,0
E-206-217,206,217,40,24,0.08,D,Weak,High,0
E-244-276,244,276,45,33,0.1,C,Strong,High,0
E-72-115,72,115,27,24,0.11,C,Strong,High,0
E-66-89,66,89,35,35,0.08,D,Weak,High,0
E-57-177,57,177,26,38,0.08,B,Weak,High,0
E-69-123,69,123,28,24,0.09,D,Weak,High,0
E-41-47,41,47,19,32,0.1,D,Strong,High,0
E-90-187,90,187,36,42,0.11,A,Strong,High,1
E-137-289,137,289,33,32,0.11,C,Weak,High,0
E-139-290,139,290,28,27,0.12,C,Weak,High,0
E-275-294,275,294,37,27,0.09,B,Weak,High,0
E-31-155,31,155,30,30,0.12,A,Weak,High,0
E-189-206,189,206,31,40,0.12,C,Weak,High,0
E-124-129,124,129,23,34,0.11,A,Weak,High,0
